Name,Gene_ID,GenomeBuild,Chr,Accession,overallMeanByCpGacross50data
cg00098239,10908,36,19,NM_006702.2,0.026536813
cg00099550,3185,36,10,NM_004966.2,0.034843988
cg00101227,4359,36,1,NM_000530.3,0.813522221
cg00103783,9526,36,17,NM_004870.1,0.025810904
cg00105253,256281,36,14,NM_177533.2,0.090108462
cg00105470,79169,36,1,NM_024319.2,0.042877989
cg00107187,388021,36,14,NM_207379.1,0.146288338
cg00107488,10587,36,22,NM_145747.1,0.265206676
cg00107632,55276,36,4,NM_018290.2,0.040662157
cg00108454,712,36,1,NM_015991.1,0.47375521
cg00109274,160851,36,13,NM_152910.3,0.048812573
cg00112517,84152,36,17,NM_032192.2,0.108122474
cg00113020,11006,36,19,NM_006847.2,0.809216092
cg00113951,9478,36,12,NM_031205.2,0.123891627
cg00115714,262,36,6,NM_001634.4,0.089106863
cg00116234,92949,36,9,NM_052866.2,0.082382319
cg00116838,147699,36,19,NM_178494.2,0.100514578
cg00117172,864,36,1,NT_004610.18,0.090400661
cg00119079,27074,36,3,NM_014398.2,0.059950422
cg00121158,23081,36,9,NM_015061.1,0.034065346
cg00121640,23245,36,9,NM_198188.1,0.067756792
cg00121904,4129,36,X,NM_000898.3,0.147581393
cg00123035,5993,36,1,NM_000449.3,0.067357757
cg00126034,7473,36,17,NM_030753.3,0.053689115
cg00126657,280657,36,X,NM_173357.2,0.620865305
cg00126698,695,36,X,NM_000061.1,0.710554607
cg00128197,3028,36,X,NM_004493.1,0.153706546
cg00128560,91151,36,16,NM_033208.2,0.85875592
cg00128654,55051,36,14,NM_199043.1,0.042165158
cg00128766,9813,36,1,NM_014774.1,0.104007096
cg00128877,8569,36,1,NM_003684.3,0.096707054
cg00129774,1017,36,12,NT_029419.11,0.050565389
cg00131121,5439,36,7,NM_006234.4,0.048281517
cg00131557,29103,36,13,NM_013238.2,0.865692877
cg00132141,29119,36,10,NM_013266.1,0.612543074
cg00133909,80381,36,15,NM_025240.2,0.057264606
cg00134539,53347,36,21,NM_018961.2,0.669641893
cg00134787,4619,36,17,NM_005963.2,0.768240982
cg00135056,56941,36,3,NM_020187.2,0.121112422
cg00135393,2266,36,4,NM_000509.4,0.433708346
cg00136105,79158,36,12,NM_024312.3,0.040188014
cg00136405,59067,36,4,NM_021803.1,0.556440736
cg00136477,714,36,1,NM_172369.2,0.724098678
cg00136736,8563,36,22,NM_003678.4,0.052100264
cg00138126,56937,36,20,NM_020182.3,0.64670254
cg00141162,3059,36,3,NM_005335.3,0.367245541
cg00141550,85417,36,X,NM_033031.1,0.758866475
cg00141845,139596,36,X,NM_145052.1,0.298732044
cg00143376,10316,36,2,NM_006056.2,0.454101574
cg00143998,128312,36,1,NM_175055.2,0.065171834
cg00145118,10007,36,5,NM_005471.3,0.34098413
cg00145348,27301,36,X,NM_014481.2,0.246543296
cg00146096,2188,36,11,NM_022725.2,0.032848539
cg00149659,55845,36,3,NM_018462.4,0.042705101
cg00149976,11343,36,3,NM_007283.5,0.04392708
cg00151234,5230,36,X,NM_000291.2,0.227995591
cg00151607,2588,36,16,NM_000512.3,0.025813124
cg00152644,6704,36,1,NM_001024209.1,0.829161805
cg00155167,157680,36,8,NM_181661.1,0.057437348
cg00155485,23389,36,12,NM_015335.2,0.052441626
cg00155609,7001,36,19,NM_005809.4,0.053101512
cg00156216,334,36,11,NM_001642.1,0.036887851
cg00156744,6793,36,5,NM_005990.2,0.03876204
cg00158308,27199,36,13,NM_080818.3,0.099401313
cg00160914,55924,36,1,NM_198926.1,0.175274525
cg00162401,2941,36,6,NM_001512.2,0.038218975
cg00162643,23586,36,9,NM_014314.2,0.048507978
cg00164041,51191,36,4,NM_016323.1,0.070500388
cg00164898,5600,36,22,NM_138993.2,0.052917759
cg00165981,10087,36,5,NM_031361.1,0.077883481
cg00167504,644,36,7,NM_000712.3,0.039797875
cg00168082,25,36,9,NM_007313.2,0.059057476
cg00168785,151525,36,2,NM_152528.1,0.094146662
cg00168942,219770,36,10,NM_153368.1,0.645996778
cg00169548,11177,36,14,NM_013448.2,0.374576727
cg00171126,7485,36,21,NM_004627.2,0.04989797
cg00171161,53343,36,4,NM_198038.1,0.069112854
cg00174500,116173,36,14,NM_138460.2,0.612632895
cg00174901,5064,36,19,NM_002579.1,0.214422019
cg00176210,286,36,8,NM_020475.2,0.505620257
cg00176879,5786,36,20,NM_002836.2,0.956747363
cg00177013,10139,36,20,NM_003224.2,0.06809438
cg00177698,55163,36,17,NM_018129.1,0.051457026
cg00177923,23484,36,8,NM_015344.1,0.036949423
cg00178790,125228,36,18,NM_152352.1,0.058298569
cg00179446,65109,36,X,NM_023010.2,0.207021355
cg00180012,246269,36,6,NM_145315.3,0.046922254
cg00180631,4534,36,X,NM_000252.1,0.382987232
cg00182461,53938,36,2,NM_032472.3,0.085864434
cg00183782,4205,36,15,NM_005587.1,0.738253648
cg00183916,9953,36,17,NM_006041.1,0.0412999
cg00184884,9814,36,22,NM_014775.2,0.022930679
cg00184893,59344,36,17,NM_021628.1,0.041551364
cg00185103,7596,36,19,NM_003425.2,0.763776719
cg00185839,55367,36,11,NM_018494.3,0.043802237
cg00186141,5420,36,7,NM_005397.2,0.039298946
cg00186701,85453,36,8,NM_033512.2,0.34485626
cg00186954,6764,36,11,NM_005418.3,0.661348816
cg00187380,3222,36,12,NM_018953.2,0.131628353
cg00187686,6947,36,11,NM_001062.2,0.539870996
cg00188348,8815,36,11,NM_003860.2,0.67257029
cg00191052,56548,36,X,NM_019886.2,0.437798388
cg00194146,54438,36,6,NM_018988.1,0.12856944
cg00195561,1132,36,11,NM_000741.2,0.836196311
cg00197381,51307,36,5,NM_016605.1,0.046542328
cg00197641,122704,36,14,NM_178336.1,0.06181607
cg00199549,4174,36,22,NM_006739.2,0.922136334
cg00200063,84669,36,17,NM_032582.3,0.036997262
cg00201234,2199,36,3,NM_001004019.1,0.173752997
cg00202702,85016,36,11,NM_032930.1,0.038643623
cg00202711,3358,36,X,NM_000868.1,0.177317938
cg00204262,1891,36,19,NM_001398.2,0.747830296
cg00206052,25911,36,10,NM_015448.1,0.054432945
cg00207534,9798,36,16,NM_014761.2,0.040147553
cg00208830,3918,36,1,NM_005562.1,0.722308812
cg00208967,93145,36,19,NM_058164.1,0.206571995
cg00209066,23774,36,22,NM_014577.1,0.873075797
cg00209951,163259,36,1,NM_198459.2,0.077517526
cg00210842,317,36,12,NT_019546.15,0.050710437
cg00211661,116985,36,11,NM_015242.2,0.069958381
cg00212549,54437,36,3,NM_018987.1,0.098433868
cg00213044,140446,36,12,NM_058242.1,0.811037109
cg00213331,64374,36,5,NM_022464.3,0.866473086
cg00213714,22954,36,9,NM_012210.2,0.06725627
cg00214346,5573,36,17,NM_002734.3,0.037942254
cg00214794,3872,36,17,NM_000422.1,0.552189428
cg00214855,63933,36,6,NM_022102.1,0.151628289
cg00215066,4650,36,19,NM_004145.2,0.931526351
cg00216361,2596,36,3,NM_002045.2,0.059311401
cg00216758,256329,36,11,NM_173573.1,0.063623585
cg00217795,1734,36,14,NM_000793.3,0.517499249
cg00221494,10160,36,13,NM_005766.2,0.14686366
cg00223186,84320,36,1,NM_032360.2,0.042958922
cg00223950,23352,36,1,NM_020765.1,0.058065647
cg00224234,55178,36,17,NM_018146.2,0.030104212
cg00224508,56882,36,1,NM_020239.2,0.04570591
cg00226904,5268,36,18,NT_025028.13,0.750489888
cg00226923,221472,36,6,NM_173558.2,0.789242872
cg00228799,2021,36,9,NM_004435.2,0.04782341
cg00229387,93643,36,6,NM_080604.1,0.309781084
cg00230271,93627,36,4,NM_033115.2,0.059491193
cg00230368,3482,36,6,NM_000876.1,0.047851485
cg00230502,160777,36,12,NM_178499.2,0.161778972
cg00230685,6322,36,X,NM_006746.3,0.246237703
cg00231140,10449,36,18,NM_006111.1,0.052819946
cg00231644,7280,36,6,NM_001069.2,0.203507628
cg00231920,64601,36,20,NM_022575.2,0.047716426
cg00233307,11184,36,19,NM_007181.3,0.137680311
cg00234616,3196,36,2,NM_001534.2,0.146083873
cg00234961,9889,36,22,NM_014838.1,0.058040526
cg00236832,5914,36,17,NM_001024809.2,0.099514278
cg00237010,4815,36,12,NM_016533.4,0.68994004
cg00238052,140597,36,X,NM_080390.3,0.220640051
cg00239071,283600,36,14,NM_207117.2,0.938343482
cg00239419,6198,36,17,NM_003161.2,0.823578539
cg00239685,64689,36,3,NM_031899.2,0.080536143
cg00240312,999,36,16,NM_004360.2,0.052778936
cg00240432,7291,36,7,NM_000474.3,0.047095724
cg00240880,8839,36,20,NM_003881.2,0.653760583
cg00241355,2597,36,12,NM_002046.2,0.043804561
cg00242839,84991,36,10,NM_032905.3,0.463287883
cg00243313,50805,36,5,NM_016358.1,0.043177363
cg00245878,51351,36,7,NM_015852.1,0.757061257
cg00247489,1380,36,1,NM_001877.3,0.036847126
cg00250430,10655,36,9,NM_006557.3,0.194644661
cg00253200,151963,36,3,NM_178496.2,0.042851852
cg00256074,29895,36,16,NM_013292.2,0.820756676
cg00256166,64410,36,15,NM_022480.2,0.04464422
cg00256281,5372,36,22,NM_002676.1,0.034816339
cg00259755,170394,36,10,NM_138499.2,0.108689404
cg00260778,221060,36,10,NM_153244.1,0.589341785
cg00261552,1389,36,12,NM_001310.2,0.05816677
cg00261781,4148,36,2,NM_002381.3,0.035998378
cg00262415,126789,36,1,NM_153339.1,0.037637239
cg00263723,4905,36,17,NM_006178.1,0.031679876
cg00263760,11023,36,10,NM_199131.1,0.098105771
cg00265415,148789,36,1,NM_152490.1,0.028177928
cg00265490,92140,36,8,NM_178812.2,0.083384011
cg00268009,128,36,4,NM_000671.3,0.032257214
cg00268338,143279,36,10,NM_173497.1,0.033975252
cg00269115,148898,36,1,NM_138479.2,0.031386116
cg00269932,3904,36,19,NM_002288.3,0.859262168
cg00273068,90187,36,20,NM_052846.1,0.182871422
cg00273124,55651,36,5,NM_017838.3,0.825035783
cg00274399,2254,36,13,NM_002010.1,0.063227262
cg00275232,162979,36,19,NM_145288.1,0.035253916
cg00276797,9748,36,10,NM_014720.2,0.038726122
cg00278366,144715,36,12,NM_152442.2,0.431244424
cg00279797,9949,36,X,NM_015365.2,0.173229589
cg00280814,150244,36,22,NM_152509.1,0.779607467
cg00280894,56001,36,X,NM_022053.1,0.609577914
cg00282347,26038,36,1,NM_015557.1,0.103676774
cg00282683,9690,36,7,NM_014671.1,0.036259225
cg00283535,312,36,8,NM_004306.2,0.656101867
cg00288562,29896,36,7,NM_013293.2,0.038626375
cg00290028,5994,36,13,NM_000538.2,0.03161591
cg00290506,149111,36,1,NM_152495.1,0.038640912
cg00291877,6627,36,15,NM_003090.2,0.086685755
cg00292662,3956,36,22,NM_002305.2,0.062745548
cg00292971,9715,36,7,NM_014690.2,0.559195386
cg00293409,375387,36,3,NM_198565.1,0.067163308
cg00294382,51561,36,12,NM_016584.2,0.259286252
cg00295206,7879,36,3,NM_004637.5,0.045657502
cg00295325,8647,36,2,NM_003742.2,0.700317062
cg00296685,2968,36,6,NM_001517.4,0.100207379
cg00297584,400077,36,12,NM_207436.1,0.08818985
cg00297600,137970,36,8,NM_080872.1,0.480465091
cg00298357,27190,36,5,NM_014443.2,0.870575222
cg00298951,1240,36,12,NM_004072.1,0.690614156
cg00301864,11021,36,12,NM_006861.4,0.016843101
cg00302793,5530,36,4,NM_000944.2,0.050334483
cg00303548,266722,36,13,XM_926275.1,0.035397239
cg00304278,11011,36,17,NM_006852.2,0.081330263
cg00307685,676,36,1,NM_001726.2,0.872502374
cg00308133,2593,36,19,NM_000156.4,0.018996563
cg00308665,3356,36,13,NM_000621.2,0.46875837
cg00309056,83930,36,7,NM_032016.2,0.052859167
cg00309204,254863,36,17,NM_152766.2,0.041282339
cg00311768,7264,36,8,NM_003313.2,0.624250146
cg00312919,83930,36,7,NM_032016.2,0.040209931
cg00314943,251,36,2,NM_031313.1,0.815115607
cg00315936,27044,36,7,NM_014390.2,0.103447722
cg00317680,51001,36,8,NM_015942.3,0.106747888
cg00318573,1137,36,20,NM_000744.2,0.242127647
cg00318865,91,36,12,NM_020327.2,0.036982407
cg00319692,245972,36,8,NM_152565.1,0.734818954
cg00319761,9088,36,16,NM_182687.1,0.023334327
cg00320243,5864,36,19,NM_002866.3,0.039037973
cg00321065,6018,36,1,NM_012421.1,0.042872129
cg00321478,23418,36,1,NM_012076.2,0.683930791
cg00323915,55303,36,7,NM_018326.2,0.470556238
cg00324733,4925,36,11,NM_005013.1,0.044704621
cg00325491,56935,36,11,NM_020179.1,0.696833689
cg00327185,1737,36,11,NM_001931.2,0.103376965
cg00327483,844,36,1,NM_001231.2,0.915731686
cg00328227,113802,36,1,NM_144584.1,0.382742432
cg00331237,1466,36,12,NM_001321.1,0.070400194
cg00331433,94056,36,X,NM_032796.2,0.055956446
cg00332153,55024,36,4,NM_017935.2,0.196318039
cg00332745,8996,36,16,NM_003946.3,0.044920549
cg00333226,375567,36,7,NM_198570.1,0.117437424
cg00333528,2569,36,6,NM_002042.2,0.381436553
cg00334507,9961,36,16,NM_017458.2,0.609499061
cg00335286,4158,36,18,NM_000529.2,0.455413053
cg00336605,7376,36,19,NM_007121.2,0.057082524
cg00338702,55743,36,12,NM_018223.1,0.089871317
cg00338893,51650,36,7,NM_016071.2,0.045535616
cg00340102,51614,36,20,NM_015966.2,0.162088804
cg00342530,84253,36,9,NM_032293.3,0.495736348
cg00343092,706,36,22,NM_000714.4,0.12882354
cg00344358,10220,36,12,NM_005811.2,0.902853267
cg00344372,3083,36,4,NM_001528.2,0.768805072
cg00344709,317754,36,21,NM_174981.2,0.805442124
cg00346145,6164,36,4,NM_000995.2,0.091819408
cg00347729,4319,36,11,NM_002425.1,0.561262886
cg00347904,222663,36,6,NM_152753.2,0.118784967
cg00350296,57124,36,11,NM_020404.2,0.327550285
cg00350478,79981,36,6,NM_024919.2,0.669257247
cg00350702,51614,36,20,NM_015966.2,0.041449912
cg00351011,79603,36,19,NM_024552.1,0.044917374
cg00353953,171017,36,12,NM_133476.2,0.277817449
cg00354258,23619,36,19,NT_011109.15,0.843104884
cg00354572,79611,36,12,NM_024560.2,0.11607669
cg00355802,1846,36,8,NM_057158.2,0.056816972
cg00359325,7375,36,3,NM_003363.2,0.057531188
cg00359973,158787,36,X,NM_144968.1,0.061329641
cg00363813,25900,36,12,NM_015438.1,0.248400844
cg00364344,1200,36,11,NM_000391.2,0.038630039
cg00364814,22864,36,12,NM_014925.2,0.79056467
cg00365193,4835,36,6,NM_000904.1,0.152979224
cg00367281,1142,36,8,NM_000749.2,0.739910852
cg00367438,83590,36,7,NM_031434.2,0.080624283
cg00368022,55322,36,5,NM_018356.1,0.049386572
cg00368415,81609,36,1,NM_030918.5,0.029105915
cg00371195,2147,36,11,NM_000506.2,0.882497119
cg00374717,22901,36,17,NM_014960.2,0.843191962
cg00375964,6059,36,4,NM_002940.1,0.059358725
cg00376639,51545,36,19,NM_016535.3,0.099866685
cg00380464,84946,36,6,NM_032860.3,0.055827994
cg00381076,162681,36,18,NM_173529.3,0.047644424
cg00382515,65080,36,2,NM_022915.2,0.038075274
cg00382991,388152,36,15,NM_203426.1,0.064471646
cg00384537,3886,36,17,NM_002280.3,0.791395467
cg00386408,7045,36,5,NM_000358.1,0.158329428
cg00387170,116113,36,6,NM_001012426.1,0.083323193
cg00392257,81875,36,1,NM_030980.1,0.565332759
cg00393585,152756,36,4,NM_153027.1,0.108385179
cg00394658,5795,36,11,NM_002843.2,0.284643855
cg00396163,284944,36,2,NM_173645.1,0.044505278
cg00396894,339779,36,2,NM_178553.2,0.706445815
cg00397545,341,36,19,NM_001645.3,0.407038725
cg00397740,5498,36,1,NM_000309.2,0.053562194
cg00398048,175,36,4,NM_000027.2,0.276247095
cg00399483,1630,36,18,NT_010966.13,0.156768307
cg00400028,92370,36,3,NM_152282.2,0.288368938
cg00400263,63939,36,20,NM_022106.1,0.930977983
cg00401678,84658,36,19,NM_032571.2,0.42921385
cg00402366,127255,36,1,NM_145258.1,0.060038281
cg00403724,64102,36,X,NM_022144.1,0.597788987
cg00404599,1831,36,X,NM_004089.3,0.250803481
cg00405070,10961,36,12,NM_006817.2,0.051006223
cg00405568,4836,36,17,NM_021079.3,0.064885554
cg00405677,9421,36,5,NM_004821.1,0.067211245
cg00406188,353140,36,1,NM_178429.2,0.751119632
cg00406844,10738,36,22,NM_006604.1,0.784302774
cg00407150,57467,36,3,NM_020707.2,0.690348011
cg00410419,170622,36,13,NM_203495.1,0.050385455
cg00410576,5597,36,15,NM_002748.2,0.041022937
cg00410831,7596,36,19,NM_003425.2,0.846574148
cg00410895,374969,36,1,NM_199342.1,0.798048495
cg00410898,6781,36,8,NM_003155.2,0.132192273
cg00410921,1159,36,15,NM_020990.3,0.339233301
cg00411097,202915,36,7,NM_152689.2,0.402222025
cg00412772,64073,36,19,NM_033520.1,0.60247312
cg00412805,131377,36,3,NM_152393.2,0.911157086
cg00413066,10017,36,15,NM_020396.2,0.871280047
cg00415164,60529,36,11,NT_009237.17,0.072424224
cg00415494,266740,36,X,NM_153488.3,0.862827608
cg00415978,171024,36,4,NM_133477.1,0.09181434
cg00415993,2151,36,5,NM_004101.2,0.412662801
cg00417297,285267,36,3,NM_173656.1,0.036149476
cg00418150,60529,36,11,NT_009237.17,0.43859582
cg00419564,6277,36,1,NM_014624.3,0.05087578
cg00420568,53358,36,9,NM_016848.2,0.097416945
cg00420715,157680,36,8,NM_181661.1,0.034767726
cg00420929,54858,36,19,NM_017712.1,0.438332372
cg00422913,84981,36,17,NM_032895.2,0.056490386
cg00424946,6645,36,16,NM_130845.1,0.036082535
cg00425710,4489,36,16,NM_005946.2,0.763915215
cg00425792,5193,36,17,NM_000286.1,0.078910343
cg00426056,51596,36,6,NM_001014433.2,0.040163007
cg00426498,399687,36,17,NM_078471.3,0.19786511
cg00426963,55582,36,9,NM_017576.1,0.043135321
cg00427635,161514,36,15,NM_153356.1,0.349329243
cg00429618,387328,36,9,NM_199005.1,0.223997677
cg00430287,2444,36,6,NM_002031.2,0.670175221
cg00430945,64130,36,19,NM_022165.2,0.064855863
cg00431050,83401,36,10,NM_152310.1,0.491895671
cg00431114,79183,36,20,NM_024331.2,0.259849237
cg00431549,4256,36,12,NM_000900.2,0.346544466
cg00432979,78988,36,13,NM_024026.4,0.033470312
cg00433406,127731,36,1,NM_144623.2,0.794483682
cg00434413,8260,36,X,NM_003491.2,0.94825439
cg00435408,89970,36,16,NM_133368.1,0.066174314
cg00436282,6779,36,4,NM_003154.2,0.786993521
cg00436301,221294,36,6,NM_152729.2,0.03916209
cg00436603,1571,36,10,NM_000773.3,0.648224468
cg00441136,9371,36,20,NM_004798.2,0.915303512
cg00441382,9399,36,15,NM_004809.3,0.030635567
cg00443307,10219,36,12,NM_005810.3,0.632158125
cg00445824,51477,36,19,NM_016368.3,0.108639035
cg00446235,50848,36,1,NM_016946.3,0.176269383
cg00447208,147138,36,17,NM_152468.3,0.424294001
cg00448720,338872,36,13,NM_178540.3,0.706828642
cg00449941,10615,36,17,NM_006461.3,0.057214043
cg00451635,2013,36,16,NM_001424.3,0.34883274
cg00453193,26136,36,7,NM_015641.2,0.035874918
cg00453258,255022,36,10,NM_001001412.1,0.731254712
cg00459975,79618,36,8,NM_024567.2,0.048377093
cg00461841,80063,36,16,NM_024997.2,0.676205927
cg00462311,4776,36,14,NM_004554.3,0.111473824
cg00462994,162417,36,17,NM_153006.2,0.0875787
cg00463202,113622,36,13,NM_199162.1,0.790379265
cg00463577,115004,36,6,NM_138441.1,0.094848947
cg00463848,3849,36,12,NM_000423.2,0.793130168
cg00464269,7126,36,17,NM_021137.3,0.033909077
cg00465284,347730,36,2,NM_178839.3,0.060343007
cg00465846,11236,36,8,NM_007218.3,0.030867698
cg00466249,124565,36,17,NM_138570.1,0.456993735
cg00466436,81623,36,20,NM_030931.2,0.545284058
cg00466492,404217,36,19,NM_206833.1,0.716894471
cg00466544,54916,36,14,NM_017799.2,0.039030447
cg00468146,3400,36,6,NM_001546.2,0.118562685
cg00469635,51400,36,11,NM_016147.1,0.018898481
cg00471562,22884,36,10,NM_014023.3,0.039210339
cg00472136,6866,36,12,NM_001006667.1,0.831859455
cg00472814,9510,36,21,NM_006988.3,0.046638078
cg00474004,3448,36,9,NM_002172.1,0.736255205
cg00474209,28514,36,6,NM_005618.2,0.070996822
cg00475955,51490,36,9,NM_016390.2,0.024983028
cg00476577,7764,36,20,NM_006526.2,0.156193836
cg00476580,81611,36,1,NM_030920.2,0.030970867
cg00479269,55571,36,2,NM_017546.3,0.061714021
cg00480115,5349,36,19,NM_021910.1,0.659902948
cg00480209,56985,36,17,NM_020233.3,0.037073407
cg00480356,25764,36,15,NM_016400.2,0.154516188
cg00481227,56259,36,20,NM_030877.3,0.203145375
cg00483154,51428,36,5,NM_016222.2,0.034270732
cg00485296,4832,36,16,NM_002513.2,0.028280295
cg00485380,11335,36,7,NM_016587.2,0.045913976
cg00487159,8651,36,16,NM_003745.1,0.046279071
cg00488300,25823,36,16,NM_012467.2,0.87182868
cg00488364,3598,36,X,NM_000640.2,0.720946787
cg00488718,256471,36,4,NM_152778.1,0.045501094
cg00489401,2324,36,5,NM_182925.1,0.151157543
cg00491404,79574,36,1,NM_024526.2,0.794355112
cg00491839,23645,36,19,NM_014330.2,0.083652014
cg00493400,6772,36,2,NM_007315.2,0.040403307
cg00495415,6667,36,12,NM_138473.2,0.038177138
cg00495442,57148,36,20,NM_020336.1,0.072954321
cg00495491,3709,36,12,NT_009714.16,0.774944456
cg00496170,51382,36,14,NM_015994.2,0.036086559
cg00497084,5475,36,X,NM_152223.1,0.830599559
cg00497251,57140,36,2,NM_018226.3,0.075578464
cg00498305,6571,36,10,NM_003054.2,0.276940251
cg00498604,7092,36,4,NM_012464.3,0.138427642
cg00499599,8888,36,21,NM_003906.3,0.047507794
