Name,Gene_ID,GenomeBuild,Chr,MapInfo,SourceVersion,goldstandard2
cg00171126,7485,36,21,39674392,36.1,0.0677239
cg00171161,53343,36,4,88562660,36.1,0.066974252
cg00174500,116173,36,14,22916319,36.1,0.898107541
cg00174901,5064,36,19,660889,36.1,0.273277711
cg00176210,286,36,8,41774124,36.1,0.386640943
cg00176879,5786,36,20,2791525,36.1,0.988440509
cg00177013,10139,36,20,61809544,36.1,0.033754025
cg00177698,55163,36,17,43373874,36.1,0.040222448
cg00177923,23484,36,8,30072197,36.1,0.039040144
cg00178790,125228,36,18,13716864,36.1,0.036277764
cg00180012,246269,36,6,108722622,36.1,0.049536283
cg00183916,9953,36,17,14145661,36.1,0.023745823
cg00184893,59344,36,17,7962430,36.1,0.037194928
cg00185103,7596,36,19,49122726,36.1,0.733713751
cg00185839,55367,36,11,794954,36.1,0.028164212
cg00186701,85453,36,8,98359686,36.1,0.268465094
cg00186954,6764,36,11,8890556,36.1,0.662771713
cg00187380,3222,36,12,52713651,36.1,0.118442869
cg00187686,6947,36,11,59390794,36.1,0.258516732
cg00194146,54438,36,6,13596383,36.1,0.107982648
cg00195561,1132,36,11,46365160,36.1,0.888584587
cg00197641,122704,36,14,22369301,36.1,0.044009313
cg00199549,4174,36,22,34125374,36.1,0.958052968
cg00200063,84669,36,17,55824723,36.1,0.047232504
cg00201234,2199,36,3,13565968,36.1,0.039316481
cg00202702,85016,36,11,101423367,36.1,0.031476804
cg00206052,25911,36,10,103338133,36.1,0.061630109
cg00208830,3918,36,1,181421401,36.1,0.804724879
cg00208967,93145,36,19,9908924,36.1,0.14838035
cg00209066,23774,36,22,48604927,36.1,0.921196968
cg00209951,163259,36,1,115014357,36.1,0.085835472
cg00210842,317,36,12,97563709,36.1,0.045778659
cg00211661,116985,36,11,72111267,36.1,0.038052677
cg00213331,64374,36,5,138491362,36.1,0.866179467
cg00213714,22954,36,9,118489191,36.1,0.063837979
cg00214855,63933,36,6,13921926,36.1,0.123596043
cg00215066,4650,36,19,17073316,36.1,0.947250349
cg00216361,2596,36,3,116825217,36.1,0.042323409
cg00216758,256329,36,11,550589,36.1,0.048753036
cg00217795,1734,36,14,79747441,36.1,0.515033957
cg00221494,10160,36,13,97592594,36.1,0.031910215
cg00223186,84320,36,1,178738823,36.1,0.047170289
cg00223950,23352,36,1,19408809,36.1,0.044526331
cg00224508,56882,36,1,149297947,36.1,0.030491656
cg00226904,5268,36,18,59308045,36.1,0.700645259
cg00226923,221472,36,6,37080005,36.1,0.947950932
cg00228799,2021,36,9,130620412,36.1,0.056804669
cg00229387,93643,36,6,43553920,36.1,0.40654041
cg00230271,93627,36,4,107456632,36.1,0.074791523
cg00230368,3482,36,6,160309823,36.1,0.041321147
cg00230502,160777,36,12,118256764,36.1,0.117623727
cg00231644,7280,36,6,3103511,36.1,0.224651782
cg00231920,64601,36,20,2769308,36.1,0.021382736
cg00233307,11184,36,19,43800916,36.1,0.056125078
cg00234616,3196,36,2,74594080,36.1,0.121104504
cg00234961,9889,36,22,48632577,36.1,0.043024376
cg00236832,5914,36,17,35719015,36.1,0.111395438
cg00237010,4815,36,12,643122,36.1,0.752268722
cg00239071,283600,36,14,99859490,36.1,0.981192502
cg00239685,64689,36,3,39123346,36.1,0.097338134
cg00240432,7291,36,7,19123821,36.1,0.025264671
cg00240880,8839,36,20,42776647,36.1,0.914547432
cg00241355,2597,36,12,6513890,36.1,0.025996863
cg00242839,84991,36,10,6170584,36.1,0.677215164
cg00243313,50805,36,5,1936413,36.1,0.031605155
cg00247489,1380,36,1,205694805,36.1,0.037996572
cg00250430,10655,36,9,1041579,36.1,0.090984984
cg00253200,151963,36,3,194118768,36.1,0.03627213
cg00256074,29895,36,16,30293651,36.1,0.85556828
cg00256166,64410,36,15,84139432,36.1,0.03898989
cg00256281,5372,36,22,40315588,36.1,0.015243532
cg00261552,1389,36,12,12656161,36.1,0.070401225
cg00261781,4148,36,2,20075998,36.1,0.026503474
cg00262415,126789,36,1,1232595,36.1,0.040772673
cg00263760,11023,36,10,118887356,36.1,0.07467346
cg00265415,148789,36,1,233734130,36.1,0.020825245
cg00265490,92140,36,8,98725021,36.1,0.115253381
cg00268009,128,36,4,100229234,36.1,0.029904852
cg00268338,143279,36,10,93159475,36.1,0.024117208
cg00269115,148898,36,1,23568117,36.1,0.026197864
cg00273068,90187,36,20,39429161,36.1,0.091226077
cg00273124,55651,36,5,177514118,36.1,0.913175359
cg00274399,2254,36,13,21143420,36.1,0.073080135
cg00275232,162979,36,19,50271381,36.1,0.05293786
cg00276797,9748,36,10,105716604,36.1,0.043598145
cg00278366,144715,36,12,109424670,36.1,0.234969685
cg00280814,150244,36,22,22075389,36.1,0.877212633
cg00282347,26038,36,1,6163627,36.1,0.064726732
cg00282683,9690,36,7,156624756,36.1,0.028746509
cg00288562,29896,36,7,23538170,36.1,0.043456761
cg00290028,5994,36,13,36291125,36.1,0.026220325
cg00290506,149111,36,1,222870849,36.1,0.031060031
cg00291877,6627,36,15,99653456,36.1,0.105954538
cg00292662,3956,36,22,36401114,36.1,0.02856158
cg00292971,9715,36,7,142770658,36.1,0.636111796
cg00293409,375387,36,3,197851066,36.1,0.067299846
cg00294382,51561,36,12,55018988,36.1,0.126329368
cg00295206,7879,36,3,129927503,36.1,0.038717264
cg00297584,400077,36,12,115455414,36.1,0.057825852
cg00297600,137970,36,8,35521212,36.1,0.484395402
cg00298357,27190,36,5,148738984,36.1,0.955847231
cg00302793,5530,36,4,102487148,36.1,0.018300688
cg00303548,266722,36,13,95540414,36.1,0.047634302
cg00307685,676,36,1,92188112,36.1,0.874985938
cg00308133,2593,36,19,1352118,36.1,0.012100286
cg00308665,3356,36,13,46367655,36.1,0.544997339
cg00309056,83930,36,7,38184637,36.1,0.049857921
cg00309204,254863,36,17,7248156,36.1,0.052303822
cg00311768,7264,36,8,144770000,36.1,0.861758332
cg00312919,83930,36,7,38184235,36.1,0.029613944
cg00314943,251,36,2,232978994,36.1,0.85307559
cg00315936,27044,36,7,127079975,36.1,0.128247798
cg00317680,51001,36,8,97343246,36.1,0.118406368
cg00318573,1137,36,20,61463562,36.1,0.151138632
cg00318865,91,36,12,50632163,36.1,0.026381804
cg00319692,245972,36,8,87180235,36.1,0.751189832
cg00320243,5864,36,19,18175691,36.1,0.02632079
cg00321478,23418,36,1,195505021,36.1,0.902993606
cg00323915,55303,36,7,149895920,36.1,0.551464252
cg00324733,4925,36,11,17254923,36.1,0.036951869
cg00325491,56935,36,11,92925818,36.1,0.652480955
cg00327185,1737,36,11,111401708,36.1,0.109373116
cg00327483,844,36,1,158427211,36.1,0.940251955
cg00328227,113802,36,1,109005848,36.1,0.222834259
cg00332153,55024,36,4,102931033,36.1,0.042259296
cg00332745,8996,36,16,65765748,36.1,0.042217545
cg00333226,375567,36,7,49784309,36.1,0.097707128
cg00333528,2569,36,6,89984204,36.1,0.213679529
cg00334507,9961,36,16,29732100,36.1,0.621764109
cg00335286,4158,36,18,13906355,36.1,0.625303824
cg00336605,7376,36,19,55571249,36.1,0.051585826
cg00338702,55743,36,12,131973767,36.1,0.102317863
cg00338893,51650,36,7,140361083,36.1,0.075119516
cg00340102,51614,36,20,33592870,36.1,0.146344481
cg00342530,84253,36,9,129066841,36.1,0.763863714
cg00343092,706,36,22,41877918,36.1,0.039118503
cg00344358,10220,36,12,54421960,36.1,0.938595648
cg00344372,3083,36,4,3413423,36.1,0.827926623
cg00346145,6164,36,4,109761008,36.1,0.089083727
cg00347729,4319,36,11,102156963,36.1,0.61450722
cg00347904,222663,36,6,35290486,36.1,0.17002532
cg00350296,57124,36,11,65841417,36.1,0.17947805
cg00350478,79981,36,6,168222862,36.1,0.805052689
cg00350702,51614,36,20,33593341,36.1,0.040799185
cg00353953,171017,36,12,6669802,36.1,0.358900814
cg00354572,79611,36,12,79995550,36.1,0.105053799
cg00355802,1846,36,8,29264902,36.1,0.07996465
cg00359325,7375,36,3,49352423,36.1,0.025777517
cg00363813,25900,36,12,6535133,36.1,0.013872881
cg00364814,22864,36,12,55977722,36.1,0.741028578
cg00367438,83590,36,7,150411730,36.1,0.115253489
cg00368415,81609,36,1,149851022,36.1,0.011996577
cg00371195,2147,36,11,46697057,36.1,0.868965567
cg00374717,22901,36,17,63814740,36.1,0.89001929
cg00375964,6059,36,4,146238580,36.1,0.081877065
cg00376639,51545,36,19,60846963,36.1,0.092405848
cg00380464,84946,36,6,144206343,36.1,0.029662766
cg00381076,162681,36,18,50138795,36.1,0.020640014
cg00384537,3886,36,17,36891489,36.1,0.75544984
cg00386408,7045,36,5,135392869,36.1,0.169467613
cg00387170,116113,36,6,41621980,36.1,0.080355103
cg00393585,152756,36,4,166097541,36.1,0.107951691
cg00394658,5795,36,11,47958245,36.1,0.408954201
cg00396163,284944,36,2,84597095,36.1,0.074064351
cg00396894,339779,36,2,27215924,36.1,0.770134589
cg00397740,5498,36,1,159402945,36.1,0.061775378
cg00398048,175,36,4,178601336,36.1,0.306102788
cg00399483,1630,36,18,48122376,36.1,0.161873586
cg00400263,63939,36,20,57947596,36.1,0.937439192
cg00402366,127255,36,1,74436338,36.1,0.059000382
cg00405070,10961,36,12,110935030,36.1,0.056198316
cg00405568,4836,36,17,40494491,36.1,0.069942376
cg00405677,9421,36,5,153838295,36.1,0.042690005
cg00407150,57467,36,3,42718798,36.1,0.843889383
cg00410419,170622,36,13,75009786,36.1,0.039019669
cg00410576,5597,36,15,50098428,36.1,0.027901143
cg00410895,374969,36,1,43056471,36.1,0.690795826
cg00410898,6781,36,8,23768300,36.1,0.183993795
cg00411097,202915,36,7,1562576,36.1,0.342952423
cg00412772,64073,36,19,43486685,36.1,0.62164434
cg00412805,131377,36,3,42701974,36.1,0.951699443
cg00413066,10017,36,15,50192756,36.1,0.923262979
cg00415993,2151,36,5,75954944,36.1,0.324133907
cg00417297,285267,36,3,40493746,36.1,0.040763178
cg00418150,60529,36,11,44284445,36.1,0.282554048
cg00419564,6277,36,1,151775484,36.1,0.049680245
cg00420568,53358,36,9,90984724,36.1,0.099726231
cg00420715,157680,36,8,100094540,36.1,0.031489442
cg00420929,54858,36,19,18312112,36.1,0.395630591
cg00422913,84981,36,17,1565772,36.1,0.052918167
cg00424946,6645,36,16,67778673,36.1,0.036704424
cg00425710,4489,36,16,55230172,36.1,0.744596474
cg00426056,51596,36,6,33493874,36.1,0.025780423
cg00426498,399687,36,17,24531793,36.1,0.197416716
cg00426963,55582,36,9,85725575,36.1,0.0499916
cg00427635,161514,36,15,71953425,36.1,0.286439321
cg00430287,2444,36,6,116489569,36.1,0.769341581
cg00430945,64130,36,19,54309121,36.1,0.024074756
cg00431050,83401,36,10,103975720,36.1,0.626814387
cg00431549,4256,36,12,14930292,36.1,0.260718506
cg00432979,78988,36,13,20648473,36.1,0.042691521
cg00433406,127731,36,1,20489562,36.1,0.871119907
cg00435408,89970,36,16,55778163,36.1,0.076316107
cg00436282,6779,36,4,70896038,36.1,0.780924294
cg00436301,221294,36,6,116528429,36.1,0.052691896
cg00436603,1571,36,10,135190730,36.1,0.81553525
cg00441382,9399,36,15,72071534,36.1,0.015568151
cg00445824,51477,36,19,18409929,36.1,0.030906648
cg00446235,50848,36,1,159275268,36.1,0.0589989
cg00447208,147138,36,17,73637896,36.1,0.033689532
cg00448720,338872,36,13,23781014,36.1,0.871739052
cg00449941,10615,36,17,23950138,36.1,0.056383279
cg00451635,2013,36,16,10582531,36.1,0.693190255
cg00453193,26136,36,7,115638286,36.1,0.009295375
cg00459975,79618,36,8,28805018,36.1,0.038782731
cg00461841,80063,36,16,10430986,36.1,0.67863586
cg00462994,162417,36,17,39437481,36.1,0.042062212
cg00463202,113622,36,13,113155711,36.1,0.931061062
cg00463577,115004,36,6,74218632,36.1,0.031867575
cg00463848,3849,36,12,51332372,36.1,0.749743714
cg00464269,7126,36,17,23686969,36.1,0.031124363
cg00465284,347730,36,2,80385409,36.1,0.054167963
cg00466249,124565,36,17,76884479,36.1,0.4574588
cg00466492,404217,36,19,7897731,36.1,0.947714751
cg00466544,54916,36,14,56115996,36.1,0.04219793
cg00468146,3400,36,6,19946190,36.1,0.121794484
cg00469635,51400,36,11,73560119,36.1,0.009483198
cg00471562,22884,36,10,1092373,36.1,0.01742115
cg00472814,9510,36,21,27139547,36.1,0.031987008
cg00474004,3448,36,9,21229944,36.1,0.681570327
cg00474209,28514,36,6,170441985,36.1,0.062869466
cg00475955,51490,36,9,130631870,36.1,0.028350765
cg00476580,81611,36,1,148474207,36.1,0.020605252
cg00479269,55571,36,2,101236407,36.1,0.073401305
cg00480115,5349,36,19,40298717,36.1,0.850893407
cg00480356,25764,36,15,41880098,36.1,0.18334172
cg00483154,51428,36,5,176876110,36.1,0.0189218
cg00485296,4832,36,16,1761560,36.1,0.014945003
cg00485380,11335,36,7,26207085,36.1,0.046645258
cg00487159,8651,36,16,11257069,36.1,0.024626983
cg00488718,256471,36,4,129106494,36.1,0.04101764
cg00489401,2324,36,5,180008481,36.1,0.099415799
cg00491404,79574,36,1,110108114,36.1,0.840210213
cg00491839,23645,36,19,54067452,36.1,0.058790111
cg00493400,6772,36,2,191587372,36.1,0.04583526
cg00495415,6667,36,12,52060062,36.1,0.039929305
cg00495442,57148,36,20,36534586,36.1,0.074806811
cg00496170,51382,36,14,66896633,36.1,0.033424985
cg00497251,57140,36,2,241157398,36.1,0.036944897
cg00498305,6571,36,10,118990226,36.1,0.384936774
cg00499599,8888,36,21,46530820,36.1,0.057175717
cg00499822,6387,36,10,44201557,36.1,0.104199706
cg00500400,2033,36,22,39817229,36.1,0.057822054
cg00501366,242,36,17,7933201,36.1,0.844970733
cg00502442,79683,36,6,157721881,36.1,0.03552697
cg00503458,22889,36,1,154171063,36.1,0.129286612
cg00503840,1749,36,7,96488445,36.1,0.153317363
cg00504595,55504,36,13,23042985,36.1,0.478972114
cg00509616,145781,36,15,55671707,36.1,0.152098807
cg00510787,55005,36,6,151814639,36.1,0.757484387
cg00510956,10657,36,1,32251027,36.1,0.852305728
cg00511475,1013,36,16,87765831,36.1,0.421606677
cg00512031,54360,36,4,5072877,36.1,0.871539976
cg00512279,6571,36,10,118990981,36.1,0.025820901
cg00512374,3487,36,17,35853208,36.1,0.032944121
cg00513467,55958,36,9,21325551,36.1,0.084313913
cg00514407,5270,36,2,224612870,36.1,0.04524965
cg00514895,8532,36,4,8645313,36.1,0.042009161
cg00515905,79574,36,1,110108030,36.1,0.926053863
cg00516481,5152,36,21,42946271,36.1,0.246266952
cg00518989,3985,36,22,29938519,36.1,0.026243111
cg00519627,79585,36,16,4406651,36.1,0.025816387
cg00520135,7168,36,15,61120899,36.1,0.911911339
cg00521434,83873,36,1,109883488,36.1,0.835298888
cg00522034,868,36,3,107070411,36.1,0.013096106
cg00522316,8570,36,19,6376042,36.1,0.052663584
cg00528052,10765,36,1,201043918,36.1,0.014578379
cg00528967,8428,36,13,98026956,36.1,0.018845539
cg00532335,9211,36,10,95506851,36.1,0.72294573
cg00532890,5087,36,1,162795306,36.1,0.048308782
cg00534274,23657,36,4,139382791,36.1,0.261617959
cg00537910,10058,36,2,219792855,36.1,0.917521644
cg00539322,6295,36,2,233881099,36.1,0.697886403
cg00539716,3344,36,2,48395425,36.1,0.049114316
cg00540544,1465,36,1,199742920,36.1,0.016300284
cg00544557,259234,36,21,38500612,36.1,0.926065113
cg00545573,51347,36,12,117294819,36.1,0.105673847
cg00546491,5137,36,7,32077587,36.1,0.299773861
cg00546897,284837,36,21,44056660,36.1,0.471526503
cg00547018,56052,36,16,5061710,36.1,0.245650766
cg00548060,80896,36,1,181028528,36.1,0.698134024
cg00548268,4885,36,7,98083766,36.1,0.372390276
cg00550617,85280,36,17,36659343,36.1,0.574426162
cg00551244,157376,36,8,125252957,36.1,0.855743362
cg00554173,9762,36,20,3097777,36.1,0.85702804
cg00554250,10062,36,11,47237946,36.1,0.162774929
cg00554682,91752,36,2,185171377,36.1,0.042820783
cg00554702,1111,36,11,125001855,36.1,0.224510211
cg00556408,164656,36,22,35830534,36.1,0.86802333
cg00559473,8086,36,12,52001859,36.1,0.03412232
cg00560119,6812,36,9,129413930,36.1,0.069101031
cg00563229,55113,36,1,28158733,36.1,0.028766868
cg00563926,7049,36,1,92125069,36.1,0.168005292
cg00563932,5730,36,9,138990870,36.1,0.570749371
cg00564163,79689,36,7,87773915,36.1,0.19065891
cg00565075,51386,36,22,36574839,36.1,0.156856489
cg00565688,7161,36,1,3558072,36.1,0.115469517
cg00566759,1824,36,18,26936343,36.1,0.048430045
cg00567479,9855,36,2,241944672,36.1,0.081609958
cg00567749,1462,36,5,82803664,36.1,0.132606453
cg00568128,55088,36,10,115924090,36.1,0.051228907
cg00568792,3703,36,11,124967764,36.1,0.086327758
cg00569620,55347,36,3,113180343,36.1,0.081284744
cg00571634,54554,36,3,123617510,36.1,0.200781885
cg00573606,1293,36,2,237987419,36.1,0.889726889
cg00575744,3109,36,6,33016620,36.1,0.060478447
cg00576250,284747,36,20,44521172,36.1,0.077289527
cg00577167,229,36,9,103237496,36.1,0.670616028
cg00577464,6469,36,7,155297541,36.1,0.032008449
cg00581156,27292,36,5,61735173,36.1,0.030088566
cg00582628,8601,36,8,54927068,36.1,0.412246487
cg00584022,3845,36,12,25294434,36.1,0.038164748
cg00585790,3987,36,2,108571277,36.1,0.25707224
cg00585846,4795,36,6,31623437,36.1,0.072810126
cg00587613,390212,36,11,66976799,36.1,0.88254655
cg00594118,25920,36,9,139269821,36.1,0.02976997
cg00594952,9783,36,1,40903228,36.1,0.797049257
cg00597076,4641,36,17,1342630,36.1,0.683299525
cg00598858,5589,36,19,11406966,36.1,0.0408349
cg00601486,341567,36,12,47009415,36.1,0.930640223
cg00602891,79415,36,17,78002153,36.1,0.095919656
cg00605270,27293,36,1,28134139,36.1,0.030070809
cg00609097,10420,36,1,45729561,36.1,0.038904566
cg00611397,26164,36,20,60201421,36.1,0.856421329
cg00612467,3033,36,4,109130526,36.1,0.064461566
cg00613255,3630,36,11,2138952,36.1,0.901936063
cg00613344,79802,36,1,220789293,36.1,0.823924705
cg00615241,5657,36,19,790689,36.1,0.316361548
cg00615377,23543,36,22,34566595,36.1,0.184485285
cg00615915,5271,36,18,59788279,36.1,0.129797401
cg00616129,55359,36,12,10718281,36.1,0.046584945
cg00616135,114294,36,15,61200667,36.1,0.868469416
cg00616369,4691,36,2,232037340,36.1,0.024919602
cg00617305,149345,36,1,200124563,36.1,0.046023478
cg00619207,79961,36,1,111544891,36.1,0.443424434
cg00620024,5537,36,9,126992712,36.1,0.66939834
cg00620629,221302,36,6,117096644,36.1,0.045956832
cg00622552,161753,36,15,73803390,36.1,0.310650574
cg00622677,10098,36,4,99798271,36.1,0.084305571
cg00623593,1793,36,10,128657600,36.1,0.925131164
cg00625425,163782,36,1,62558100,36.1,0.626030796
cg00626119,4914,36,1,155051912,36.1,0.785692988
cg00626466,2799,36,12,63440249,36.1,0.547394131
cg00629217,84708,36,4,54120106,36.1,0.799040825
cg00630164,9132,36,1,41022649,36.1,0.087863722
cg00630249,284613,36,1,109838412,36.1,0.022884027
cg00630583,5426,36,12,131774387,36.1,0.018290986
cg00631230,65082,36,12,121316869,36.1,0.041408258
cg00633969,83666,36,3,123767240,36.1,0.898952303
cg00635481,7629,36,6,35334895,36.1,0.022396949
cg00636639,92399,36,9,124067070,36.1,0.047650755
cg00638514,347741,36,17,70443643,36.1,0.065704577
cg00642303,23527,36,3,196644201,36.1,0.020047572
cg00643392,83546,36,19,12807856,36.1,0.314921599
cg00644033,57876,36,7,100382640,36.1,0.943685042
cg00645579,3665,36,11,607140,36.1,0.430068006
cg00645922,51014,36,5,114990078,36.1,0.044211423
cg00646492,9446,36,10,106004286,36.1,0.16277594
cg00647741,10782,36,19,63385262,36.1,0.415464003
cg00648153,26503,36,6,74420870,36.1,0.077089659
cg00648883,196549,36,13,31422761,36.1,0.250027184
cg00650762,2048,36,1,22909955,36.1,0.021102447
cg00650876,4904,36,1,42920645,36.1,0.023999455
cg00651216,3326,36,6,44321698,36.1,0.092345591
cg00653387,5764,36,7,136679075,36.1,0.118665941
cg00654814,146664,36,17,72376663,36.1,0.086784295
cg00654816,166793,36,4,4342312,36.1,0.04046788
cg00655307,2099,36,6,152170436,36.1,0.040383833
cg00655779,10574,36,2,73314576,36.1,0.03089702
cg00657095,5467,36,6,35418101,36.1,0.122135065
cg00657582,57680,36,14,20974746,36.1,0.076206308
cg00658007,343035,36,1,209732752,36.1,0.07476177
cg00658626,160762,36,12,109769362,36.1,0.086773255
